Error Sentence,Corrected Sentence
நூலகம் அவர்கள் சென்றாய்,அவர்கள் நூலகம் சென்றார்கள்
நூலகம் நாம் சென்றேன்,நாம் நூலகம் சென்றோம்
அவர்கள் சென்றோம் பள்ளிக்கூடம்,அவர்கள் பள்ளிக்கூடம் சென்றார்கள்
நூலகம் நான் சென்றார்,நான் நூலகம் சென்றேன்
நீ சென்றோம் நூலகம்,நீ நூலகம் சென்றாய்
நூலகம் அவர்கள் சென்றது,அவர்கள் நூலகம் சென்றார்கள்
அது சென்றாய் நூலகம்,அது நூலகம் சென்றது
வேலை நாம் சென்றது,நாம் வேலை சென்றோம்
அவர் சென்றன பள்ளிக்கூடம்,அவர் பள்ளிக்கூடம் சென்றார்கள்
நூலகம் நான் சென்றது,நான் நூலகம் சென்றேன்
அவர் சென்றேன் வேலை,அவர் வேலை சென்றார்
பள்ளிக்கூடம் அது சென்றது,அது பள்ளிக்கூடம் சென்றது
பள்ளிக்கூடம் அது சென்றேன்,அது பள்ளிக்கூடம் சென்றது
பள்ளிக்கூடம் நான் சென்றது,நான் பள்ளிக்கூடம் சென்றேன்
அவர்கள் சென்றோம் நூலகம்,அவர்கள் நூலகம் சென்றார்கள்
வேலை நான் செய்தாய், நான் வேலை செய்தேன்
வேலை நாம் செய்தான், நாம் வேலை செய்தோம்
வேலை நீங்கள் செய்தாள், நீங்கள் வேலை செய்தீர்கள்
வேலை அவன் செய்தோம், அவன் வேலை செய்தான்
வேலை அவள் செய்தது, அவள் வேலை செய்தாள்
வேலை அவர்கள் செய்தேன், அவர்கள் வேலை செய்தார்கள்
வேலை அது செய்தாய், அது வேலை செய்தது
வேலை நாங்கள் செய்தேன், நாங்கள் வேலை செய்தோம்
வேலை நீ செய்தான், நீ வேலை செய்தாய்
வேலை நான் செய்தார்கள், நான் வேலை செய்தேன்
பாட்டு அவர்கள் பாடினாய், அவர்கள் பாட்டு பாடினார்கள்
பாட்டு நாம் பாடினேன், நாம் பாட்டு பாடினோம்
அவர்கள் பாடினோம் பாட்டு, அவர்கள் பாட்டு பாடினார்கள்
பாட்டு நான் பாடினார், நான் பாட்டு பாடினேன்
நீ பாடினோம் பாட்டு, நீ பாட்டு பாடினாய்
பாட்டு அவர்கள் பாடியது, அவர்கள் பாட்டு பாடினார்கள்
அது பாடினாய் பாட்டு, அது பாட்டு பாடியது
பாட்டு நாம் பாடியது, நாம் பாட்டு பாடினோம்
அவள் பாடினோம் பாட்டு, அவள் பாட்டு பாடினாள்
பாட்டு நான் பாடியது, நான் பாட்டு பாடினேன்
அவள் பாடினேன் பாட்டு, அவள் பாட்டு பாடினாள்
பாட்டு அது பாடியது, அது பாட்டு பாடியது
பாட்டு அது பாடினேன், அது பாட்டு பாடியது
பாட்டு நான் பாடியது, நான் பாட்டு பாடினேன்
அவர்கள் பாடினோம் பாட்டு, அவர்கள் பாட்டு பாடினார்கள்
புத்தகம் அவர்கள் படித்தாய், அவர்கள் புத்தகம் படித்தார்கள்
புத்தகம் நாம் படித்தேன், நாம் புத்தகம் படித்தோம்
அவர்கள் படித்தோம் புத்தகம், அவர்கள் புத்தகம் படித்தார்கள்
புத்தகம் நான் படித்தார், நான் புத்தகம் படித்தேன்
நீ படித்தோம் புத்தகம், நீ புத்தகம் படித்தாய்
புத்தகம் அவர்கள் படித்தது, அவர்கள் புத்தகம் படித்தார்கள்
அது படித்தாய் புத்தகம், அது புத்தகம் படித்தது
புத்தகம் நாம் படித்தது, நாம் புத்தகம் படித்தோம்
அவர் படித்தன புத்தகம், அவர் புத்தகம் படித்தார்
புத்தகம் நான் படித்தது, நான் புத்தகம் படித்தேன்
அவர் படித்தேன் புத்தகம், அவர் புத்தகம் படித்தார்
புத்தகம் அது படித்தது, அது புத்தகம் படித்தது
புத்தகம் அது படித்தேன், அது புத்தகம் படித்தது
புத்தகம் நான் படித்தது, நான் புத்தகம் படித்தேன்
அவர்கள் படித்தோம் புத்தகம், அவர்கள் புத்தகம் படித்தார்கள்
